Год,Регион,mean_salary,flat_count,latitude,distance_to_moscow_km,Population,district
2002,Амурская область,2874.6,1403,50.2907,6500,906.0,ДВФО
2002,Архангельская обл...,3956.5,1453,64.5393,1200,1300.0,СЗФО
2002,Ненецкий авт.округ,8621.1,70,67.6383,1500,41.0,СЗФО
2002,Астраханская область,3058.0,3069,46.3497,1400,1005.0,ЮФО
2002,Белгородская область,2762.3,7860,50.5978,700,1510.0,ЦФО
2002,Брянская область,2452.4,2736,53.2521,380,1383.0,ЦФО
2002,Владимирская область,2158.0,3320,56.1282,180,1529.0,ЦФО
2002,Волгоградская обл...,2952.1,4335,48.7078,970,2701.0,ЮФО
2002,Вологодская область,3481.3,3019,59.2239,450,1272.0,СЗФО
2002,Воронежская область,2597.4,7517,51.6608,520,2385.0,ЦФО
2002,Нижегородская обл...,3214.6,5465,56.3269,420,3535.0,ПФО
2002,Ивановская область,1778.4,1154,57.0003,300,1153.0,ЦФО
2002,Иркутская область,3609.9,2914,52.2864,5200,2588.0,СФО
2002,Республика Ингушетия,1170.7,164,43.1667,1700,462.0,СКФО
2002,Калининградская о...,2716.1,2212,54.7104,1100,954.0,СЗФО
2002,Тверская область,2349.2,3041,56.8587,180,1478.0,ЦФО
2002,Калужская область,2503.3,2543,54.5143,190,1044.0,ЦФО
2002,Центральный федер...,5435.6,144065,55.7558,0,38007.0,ЦФО
2002,Краснодарский край,2856.8,15274,45.0355,1200,5125.0,ЮФО
2002,Камчатский край,5915.6,156,53.0444,6770,359.0,ДВФО
2002,Северо-Западный ф...,4010.5,33146,59.9343,635,14010.0,СЗФО
2002,Кемеровская область,3993.6,6142,55.3333,3600,2905.0,СФО
2002,Приволжский федер...,3034.9,87064,55.83,800,31210.0,ПФО
2002,Кировская область,2517.4,2514,58.6035,900,1508.0,ПФО
2002,Уральский федерал...,4791.3,36817,56.8389,1800,12389.0,УрФО
2002,Костромская область,2515.7,1485,57.7679,350,739.0,ЦФО
2002,Сибирский федерал...,3373.2,35556,55.0415,3300,17962.0,СФО
2002,Дальневосточный ф...,4391.4,10142,43.1155,9300,8853.0,ДВФО
2002,Самарская область,4270.3,9953,53.1959,1050,3244.0,ПФО
2002,Южный федеральный...,2548.4,48814,45.0355,1200,13981.0,ЮФО
2002,Курганская область,2419.3,1155,55.4412,1900,1023.0,УрФО
2002,Курская область,2698.5,2379,51.7373,500,1239.0,ЦФО
2002,Красноярский край,4346.1,6622,56.0153,4100,2971.0,СФО
2002,г.Санкт-Петербург,4514.4,16055,59.9343,635,4672.0,СЗФО
2002,Ленинградская обл...,2417.5,4829,59.9343,635,1669.0,СЗФО
2002,Липецкая область,2776.2,3350,52.6031,420,1215.0,ЦФО
2002,Магаданская область,6748.5,37,59.5681,5900,184.0,ДВФО
2002,г.Москва,12460.8,61278,55.7558,0,10328.0,ЦФО
2002,Московская область,3546.0,32857,55.7558,0,6613.0,ЦФО
2002,Мурманская область,5892.5,60,68.9792,1900,897.0,СЗФО
2002,Новгородская область,3008.5,1389,58.5214,530,696.0,СЗФО
2002,Приморский край,3122.4,1994,43.1155,9300,2076.0,ДВФО
2002,Новосибирская обл...,2933.0,4873,55.0415,3300,2695.0,СФО
2002,Омская область,3221.8,2837,54.9924,2700,2085.0,СФО
2002,Оренбургская область,2481.8,4589,51.7674,1400,2182.0,ПФО
2002,Орловская область,2614.4,2626,52.9668,360,862.0,ЦФО
2002,Пензенская область,2221.4,3092,53.1959,640,1457.0,ПФО
2002,Пермский край,4129.5,4714,58.0105,1400,2825.0,ПФО
