"Год","Регион","mean_salary","flat_count"
2005,"Республика Карелия",7277.8,1119
2005,"Республика Коми",11452.3,2854
2005,"Республика Марий Эл",3376,2131
2005,"Республика Мордовия",4102.9,2214
2005,"Республика Северн...",4668.8,1250
2005,"Карачаево-Черкесс...",4083.8,521
2005,"Республика Татарстан",7383.5,16674
2005,"Республика Тыва",4161.5,302
2005,"Удмуртская Респуб...",4656.9,4080
2005,"Республика Хакасия",5176.5,1317
2005,"Чувашская Республика",3958.5,8035
2005,"Республика Саха (...",11349.9,3834
2005,"Еврейская автоном...",6405.7,231
2006,"Алтайский край",6369.1,5466
2006,"Амурская область",7419,1847
2006,"Архангельская обл...",9625.8,2726
2006,"Ненецкий авт.округ",27276.5,557
2006,"Астраханская область",7035,4352
2006,"Белгородская область",7082.8,9957
2006,"Брянская область",6171.1,2878
2006,"Владимирская область",5626.9,4149
2006,"Волгоградская обл...",7889.3,6966
2006,"Вологодская область",8681.9,4672
2006,"Воронежская область",6861.6,11685
2006,"Нижегородская обл...",8049,10332
2006,"Ивановская область",4456.9,2080
2006,"Иркутская область",8826.3,4120
2006,"Республика Ингушетия",3568.8,310
2006,"Калининградская о...",8917.5,6630
2006,"Тверская область",7266.6,4470
2006,"Калужская область",6924.7,3312
2006,"Центральный федер...",13570,209685
2006,"Краснодарский край",7193.1,24282
2006,"Камчатский край",13811.9,355
2006,"Северо-Западный ф...",10889.3,64037
2006,"Кемеровская область",9565.8,11660
2006,"Приволжский федер...",8014.1,117054
2006,"Кировская область",5885.6,4710
2006,"Уральский федерал...",12170.4,57293
2006,"Костромская область",6397.5,1449
2006,"Сибирский федерал...",8434.5,75898
2006,"Дальневосточный ф...",11266.8,13665
2006,"Самарская область",11382.9,8692
2006,"Курганская область",6676.8,1951
2006,"Курская область",6751,4524
2006,"Красноярский край",9784,13116
2006,"г.Санкт-Петербург",13686.7,34227
2006,"Ленинградская обл...",8055.4,7326
2006,"Липецкая область",7610.7,6283
2006,"Магаданская область",13858.3,194
2006,"г.Москва",28249.4,64509
2006,"Московская область",10515,71347
2006,"Мурманская область",13020.1,173
2006,"Новгородская область",7205.9,2472
2006,"Приморский край",9109.5,3562
2006,"Новосибирская обл...",8381.3,15584
2006,"Омская область",9084.3,12299
2006,"Оренбургская область",6326.3,6449
2006,"Орловская область",5972.3,3700
2006,"Пензенская область",5603.4,4894
2006,"Пермский край",11122,9993
2006,"Псковская область",6422.5,1666
2006,"Ростовская область",7482.5,16034
2006,"Рязанская область",6133.4,4695
2006,"Саратовская область",6182,9981
2006,"Сахалинская область",16412.4,576
2006,"Российская Федерация",10154.8,609
2006,"Свердловская область",11167.6,16092
2006,"Смоленская область",6722.8,3983
2006,"Тамбовская область",6814.8,4221
2006,"Томская область",9992.4,5749
2006,"Ставропольский край",6488.4,7315
2006,"Тульская область",6564.1,2980
2006,"Тюменская область",18813.4,23985
2006,"Ханты-Мансийский ...",22481.9,11189
2006,"Ямало-Ненецкий ав...",27665,4313
2006,"Ульяновская область",6137.1,4025
2006,"Челябинская область",8655.2,15265
2006,"Забайкальский край",7119.2,2505
2006,"Чукотский авт.округ",23326.1,149
2006,"Ярославская область",8263.5,3463
2006,"Республика Адыгея",4731,282
2006,"Хабаровский край",12356.6,3005
2006,"Республика Башкор...",8903.6,21278
2006,"Республика Бурятия",6989.8,2932
2006,"Республика Дагестан",6112.1,5707
2006,"Кабардино-Балкарс...",5258.5,1526
2006,"Республика Алтай",5557,679
2006,"Республика Калмыкия",3456.7,692
2006,"Республика Карелия",9127.6,1444
2006,"Республика Коми",13782.2,2701
2006,"Республика Марий Эл",4896.5,2635
2006,"Республика Мордовия",4826.9,2740
2006,"Республика Северн...",5976.7,1874
2006,"Карачаево-Черкесс...",5196.3,624
2006,"Республика Татарстан",9365.5,17980
2006,"Республика Тыва",4819.6,359
2006,"Удмуртская Респуб...",6262,4730
2006,"Республика Хакасия",6425.5,1429
2006,"Чувашская Республика",5448.8,8616
2006,"Республика Саха (...",13554.9,3668
2006,"Еврейская автоном...",7623.8,309
2007,"Алтайский край",7597.1,7133
2007,"Амурская область",9662.3,2631
2007,"Архангельская обл...",11702.8,3731
2007,"Ненецкий авт.округ",38038.8,620
2007,"Астраханская область",8638.6,4345
2007,"Белгородская область",9399.1,11857
2007,"Брянская область",7626.2,3651
2007,"Владимирская область",7014.9,4587
2007,"Волгоградская обл...",9409.8,8000
2007,"Вологодская область",10521,6658
2007,"Воронежская область",8306.6,12362
2007,"Нижегородская обл...",10171.9,13151
2007,"Ивановская область",5683.5,1674
2007,"Иркутская область",10280,7259
2007,"Республика Ингушетия",4886.7,1725
2007,"Калининградская о...",11430.7,8971
2007,"Тверская область",8542.9,4984
2007,"Калужская область",9185.5,5674
2007,"Центральный федер...",16631.2,233610
2007,"Краснодарский край",9692.3,31890
2007,"Камчатский край",16787.1,305
2007,"Северо-Западный ф...",13163,76261
2007,"Кемеровская область",11876,14318
2007,"Приволжский федер...",9958.9,144309
2007,"Кировская область",7407.4,5331
2007,"Уральский федерал...",15221.9,72626
2007,"Костромская область",7857.3,1428
2007,"Сибирский федерал...",10413.7,92216
2007,"Дальневосточный ф...",13597.4,16874
2007,"Самарская область",13779.3,15766
2007,"Курганская область",8700.9,2477
2007,"Курская область",8686.6,5216
2007,"Красноярский край",12880.3,16529
2007,"г.Санкт-Петербург",16214.2,38051
2007,"Ленинградская обл...",10201.2,9105
2007,"Липецкая область",9471.9,6902
2007,"Магаданская область",16634.1,322
2007,"г.Москва",33314.8,66112
2007,"Московская область",14034.1,81219
2007,"Мурманская область",15859.1,115
2007,"Новгородская область",8614.1,3501
2007,"Приморский край",10894.4,3595
2007,"Новосибирская обл...",10290.2,16674
2007,"Омская область",11450.7,14451
2007,"Оренбургская область",7914.3,7729
2007,"Орловская область",7324.9,4472
2007,"Пензенская область",7908.4,6451
2007,"Пермский край",13691.1,11602
2007,"Псковская область",7923.2,1654
2007,"Ростовская область",9538.8,18797
2007,"Рязанская область",8049,6080
2007,"Саратовская область",7320.3,11807
2007,"Сахалинская область",20513,1150
2007,"Российская Федерация",12540.2,722
2007,"Свердловская область",14481.5,20376
2007,"Смоленская область",8227.9,3998
2007,"Тамбовская область",8514.7,4434
2007,"Томская область",11997.9,6330
2007,"Ставропольский край",8122.4,9368
2007,"Тульская область",8264.7,3490
2007,"Тюменская область",22794.5,29065
2007,"Ханты-Мансийский ...",27357.9,12878
2007,"Ямало-Ненецкий ав...",32589.9,3854
2007,"Ульяновская область",7761.7,4770
2007,"Челябинская область",10699.6,20788
2007,"Забайкальский край",8265.4,3203
2007,"Чукотский авт.округ",26557.3,147
2007,"Ярославская область",10101.3,5470
2007,"Республика Адыгея",5802.1,733
2007,"Хабаровский край",15081,3454
2007,"Республика Башкор...",11072.8,22827
2007,"Республика Бурятия",8845.7,3443
2007,"Республика Дагестан",7724.2,6470
2007,"Кабардино-Балкарс...",6902,1666
2007,"Республика Алтай",7066.8,819
2007,"Республика Калмыкия",4375.2,743
2007,"Республика Карелия",10547.6,1634
2007,"Республика Коми",16760.7,2841
2007,"Республика Марий Эл",6072.3,3332
2007,"Республика Мордовия",6060.4,3274
2007,"Республика Северн...",7781.7,1747
2007,"Карачаево-Черкесс...",6402,690
2007,"Республика Татарстан",11566.9,22656
2007,"Республика Тыва",5959.2,505
